milestone_id,study_id,name,planned_date,actual_date,status
MS0040201,STD00402,First Patient In,2023-12-02,,Planned
MS0040202,STD00402,NDA Submission,2023-07-11,2023-07-11,Completed
MS0040203,STD00402,Data Lock,2023-09-08,2023-08-14,Planned
MS0040204,STD00402,Data Lock,2024-03-23,2024-03-01,In Progress
MS0040301,STD00403,NDA Submission,2024-06-28,2024-06-10,Completed
MS0040302,STD00403,Data Lock,2024-07-20,2024-07-05,Completed
MS0040303,STD00403,Final Report,2025-07-14,,At Risk
MS0040304,STD00403,Data Lock,2025-05-25,2025-05-17,Completed
MS0050101,STD00501,Last Patient Out,2025-06-18,,Planned
MS0050102,STD00501,Final Report,2023-01-09,,Delayed
MS0050103,STD00501,Last Patient Out,2023-02-08,2023-02-01,Delayed
MS0050104,STD00501,Data Lock,2025-02-27,,In Progress
MS0050201,STD00502,First Patient In,2025-05-13,,At Risk
MS0050202,STD00502,Data Lock,2025-03-28,,Completed
MS0050203,STD00502,NDA Submission,2023-09-16,2023-08-21,Delayed
MS0050204,STD00502,Last Patient Out,2024-12-26,,At Risk
MS0050301,STD00503,First Patient In,2023-07-24,2023-06-24,Planned
MS0050302,STD00503,Last Patient Out,2024-10-25,2024-09-25,At Risk
MS0050303,STD00503,Interim Analysis,2024-01-02,2023-12-10,At Risk
MS0050304,STD00503,Last Patient Out,2024-07-26,,In Progress
MS0060101,STD00601,Data Lock,2024-04-17,,Planned
MS0060102,STD00601,Interim Analysis,2025-06-02,2025-05-09,Planned
MS0060103,STD00601,First Patient In,2023-11-24,,At Risk
MS0060104,STD00601,Data Lock,2024-09-21,2024-09-06,Planned
MS0060201,STD00602,Final Report,2024-10-22,2024-10-09,Planned
MS0060202,STD00602,Last Patient Out,2025-04-29,2025-04-17,At Risk
MS0060203,STD00602,Final Report,2025-04-08,,At Risk
MS0060204,STD00602,First Patient In,2023-09-24,2023-09-19,At Risk
MS0060301,STD00603,First Patient In,2025-12-25,2025-12-19,Planned
MS0060302,STD00603,Final Report,2025-12-18,2025-12-17,In Progress
MS0060303,STD00603,Last Patient Out,2024-02-13,2024-02-05,In Progress
MS0060304,STD00603,First Patient In,2025-02-12,2025-02-07,Delayed
MS0070101,STD00701,Last Patient Out,2023-11-25,,Delayed
MS0070102,STD00701,NDA Submission,2025-11-11,2025-11-03,Delayed
MS0070103,STD00701,Final Report,2024-08-07,2024-07-23,In Progress
MS0070104,STD00701,Final Report,2024-01-24,2024-01-24,Planned
MS0070201,STD00702,NDA Submission,2025-11-16,2025-10-19,At Risk
MS0070202,STD00702,Interim Analysis,2024-10-08,2024-09-13,Completed
MS0070203,STD00702,First Patient In,2024-07-23,,Planned
MS0070204,STD00702,Interim Analysis,2024-04-26,2024-03-31,Delayed
MS0070301,STD00703,Data Lock,2023-10-07,,In Progress
MS0070302,STD00703,Interim Analysis,2023-09-28,,Delayed
MS0070303,STD00703,Last Patient Out,2025-02-04,,Delayed
MS0070304,STD00703,Interim Analysis,2025-08-15,2025-08-10,Delayed
MS0080101,STD00801,NDA Submission,2023-12-12,2023-11-12,At Risk
MS0080102,STD00801,Last Patient Out,2025-07-02,2025-06-22,Planned
MS0080103,STD00801,Interim Analysis,2025-03-25,,In Progress
MS0080104,STD00801,Interim Analysis,2023-11-13,2023-10-31,Planned
MS0080201,STD00802,Data Lock,2025-12-23,,Completed
MS0080202,STD00802,NDA Submission,2024-11-08,2024-10-23,Planned
MS0080203,STD00802,Interim Analysis,2025-06-17,2025-06-05,Planned
MS0080204,STD00802,NDA Submission,2024-06-16,2024-06-09,In Progress
MS0080301,STD00803,First Patient In,2025-02-06,2025-01-10,Delayed
MS0080302,STD00803,Interim Analysis,2025-01-08,,In Progress
MS0080303,STD00803,First Patient In,2024-02-29,2024-02-25,Planned
MS0080304,STD00803,Data Lock,2025-08-21,2025-07-26,Completed
MS0090101,STD00901,Interim Analysis,2024-07-27,2024-07-10,Delayed
MS0090102,STD00901,Interim Analysis,2025-12-09,2025-12-01,Delayed
MS0090103,STD00901,Last Patient Out,2023-07-01,2023-06-08,Completed
MS0090104,STD00901,Last Patient Out,2024-09-05,2024-08-17,Planned
MS0090201,STD00902,First Patient In,2024-02-17,2024-02-02,Planned
MS0090202,STD00902,Interim Analysis,2023-07-09,2023-07-04,Completed
MS0090203,STD00902,Last Patient Out,2025-09-10,2025-09-04,In Progress
MS0090204,STD00902,NDA Submission,2025-02-26,2025-01-31,At Risk
MS0090301,STD00903,Final Report,2025-08-21,2025-08-17,Completed
MS0090302,STD00903,Interim Analysis,2024-06-14,2024-05-27,Delayed
MS0090303,STD00903,Data Lock,2025-03-03,2025-03-01,At Risk
MS0090304,STD00903,First Patient In,2024-08-07,2024-07-12,Completed
MS0100101,STD01001,First Patient In,2025-09-23,2025-09-10,At Risk
MS0100102,STD01001,Data Lock,2023-11-19,,At Risk
MS0100103,STD01001,Last Patient Out,2025-10-27,2025-10-22,Planned
MS0100104,STD01001,Last Patient Out,2025-08-18,2025-08-06,At Risk
MS0100201,STD01002,First Patient In,2025-05-30,,Delayed
MS0100202,STD01002,Final Report,2023-01-03,2022-12-22,In Progress
MS0100203,STD01002,Final Report,2025-02-20,,Planned
MS0100204,STD01002,Final Report,2025-10-29,,In Progress
MS0100301,STD01003,Interim Analysis,2023-12-15,2023-12-06,Completed
MS0100302,STD01003,Last Patient Out,2025-11-10,2025-11-06,Planned
MS0100303,STD01003,Final Report,2025-08-24,2025-08-12,Planned
MS0100304,STD01003,Last Patient Out,2024-03-08,2024-03-02,Delayed
MS0110101,STD01101,First Patient In,2023-07-06,2023-06-18,In Progress
MS0110102,STD01101,Interim Analysis,2024-11-09,2024-11-09,At Risk
MS0110103,STD01101,Interim Analysis,2025-08-07,,In Progress
MS0110104,STD01101,Data Lock,2023-08-14,2023-07-20,Planned
MS0110201,STD01102,Data Lock,2023-09-11,2023-08-23,In Progress
MS0110202,STD01102,Final Report,2025-01-04,2024-12-13,Delayed
MS0110203,STD01102,Data Lock,2024-09-27,2024-09-14,At Risk
MS0110204,STD01102,Final Report,2025-09-03,,Completed
MS0110301,STD01103,First Patient In,2025-01-28,,Planned
MS0110302,STD01103,Final Report,2024-09-27,2024-09-16,In Progress
MS0110303,STD01103,First Patient In,2025-07-24,2025-07-14,Completed
MS0110304,STD01103,Interim Analysis,2023-01-24,,Completed
MS0120101,STD01201,Interim Analysis,2023-10-09,2023-10-03,Planned
MS0120102,STD01201,Final Report,2025-08-25,2025-08-12,Delayed
MS0120103,STD01201,Data Lock,2023-12-26,2023-12-19,Delayed
MS0120104,STD01201,Interim Analysis,2024-03-18,2024-03-02,Planned
MS0120201,STD01202,Final Report,2023-05-22,2023-05-10,Planned
MS0120202,STD01202,Final Report,2023-07-24,,In Progress
MS0120203,STD01202,Last Patient Out,2023-10-26,2023-10-04,Delayed
MS0120204,STD01202,First Patient In,2024-02-09,2024-01-20,Delayed
MS0120301,STD01203,First Patient In,2025-02-16,2025-02-16,At Risk
MS0120302,STD01203,Data Lock,2024-04-30,2024-04-13,At Risk
MS0120303,STD01203,NDA Submission,2025-01-03,2024-12-05,In Progress
MS0120304,STD01203,Interim Analysis,2024-03-25,2024-03-01,At Risk
MS0130101,STD01301,NDA Submission,2023-09-22,2023-09-17,In Progress
MS0130102,STD01301,Last Patient Out,2023-05-12,2023-04-19,Delayed
MS0130103,STD01301,Final Report,2023-05-27,,Delayed
MS0130104,STD01301,Final Report,2025-05-30,2025-05-09,Delayed
MS0130201,STD01302,Final Report,2024-04-20,2024-04-08,Delayed
MS0130202,STD01302,First Patient In,2024-08-05,2024-08-02,Completed
MS0130203,STD01302,NDA Submission,2023-01-26,2023-01-24,In Progress
MS0130204,STD01302,First Patient In,2024-06-29,2024-06-25,At Risk
MS0130301,STD01303,Last Patient Out,2024-06-14,2024-05-31,Planned
MS0130302,STD01303,Final Report,2024-08-28,,In Progress
MS0130303,STD01303,Data Lock,2024-09-01,,At Risk
MS0130304,STD01303,Final Report,2024-09-26,,Completed
MS0140101,STD01401,Last Patient Out,2025-02-24,2025-01-25,Delayed
MS0140102,STD01401,Last Patient Out,2025-12-30,,At Risk
MS0140103,STD01401,NDA Submission,2025-11-16,,In Progress
MS0140104,STD01401,Interim Analysis,2023-12-02,2023-11-28,In Progress
MS0140201,STD01402,Last Patient Out,2023-05-31,2023-05-17,Completed
MS0140202,STD01402,Data Lock,2025-11-13,2025-10-17,At Risk
MS0140203,STD01402,Final Report,2024-11-28,2024-11-01,In Progress
MS0140204,STD01402,Data Lock,2025-07-18,,At Risk
MS0140301,STD01403,NDA Submission,2023-10-18,2023-10-11,At Risk
MS0140302,STD01403,NDA Submission,2023-04-22,,Delayed
MS0140303,STD01403,First Patient In,2025-11-11,2025-11-10,Planned
MS0140304,STD01403,Last Patient Out,2025-02-15,,In Progress
MS0150101,STD01501,Data Lock,2024-05-13,,Delayed
MS0150102,STD01501,NDA Submission,2024-07-04,2024-06-20,Delayed
MS0150103,STD01501,Data Lock,2025-01-21,2025-01-15,Delayed
MS0150104,STD01501,Data Lock,2025-03-17,2025-03-04,At Risk
MS0150201,STD01502,First Patient In,2024-07-26,2024-07-08,Delayed
MS0150202,STD01502,NDA Submission,2025-07-04,,Delayed
MS0150203,STD01502,Final Report,2023-09-23,2023-09-16,Delayed
MS0150204,STD01502,Last Patient Out,2025-04-15,,Planned
MS0150301,STD01503,NDA Submission,2024-08-11,2024-07-26,At Risk
MS0150302,STD01503,Data Lock,2024-03-21,,Completed
MS0150303,STD01503,Interim Analysis,2024-05-05,2024-05-04,Planned
MS0150304,STD01503,Data Lock,2023-12-18,2023-12-12,At Risk
MS0160101,STD01601,Last Patient Out,2025-07-19,2025-07-14,Delayed
MS0160102,STD01601,NDA Submission,2024-07-27,,In Progress
MS0160103,STD01601,First Patient In,2024-12-12,,Planned
MS0160104,STD01601,Interim Analysis,2025-02-16,,Completed
MS0160201,STD01602,First Patient In,2025-01-06,2024-12-11,In Progress
MS0160202,STD01602,Final Report,2024-04-30,2024-04-30,Planned
MS0160203,STD01602,First Patient In,2025-06-21,,Delayed
MS0160204,STD01602,Interim Analysis,2025-01-23,,Delayed
MS0160301,STD01603,First Patient In,2025-08-12,2025-07-26,At Risk
MS0160302,STD01603,Last Patient Out,2024-09-21,2024-09-11,In Progress
MS0160303,STD01603,Data Lock,2023-05-18,2023-05-01,Planned
MS0160304,STD01603,Final Report,2025-01-04,,Completed
MS0170101,STD01701,Final Report,2023-11-15,2023-10-23,Delayed
MS0170102,STD01701,Interim Analysis,2023-11-15,2023-11-07,Delayed
MS0170103,STD01701,Final Report,2025-07-29,2025-07-17,In Progress
MS0170104,STD01701,Final Report,2025-07-20,2025-06-29,In Progress
MS0170201,STD01702,Data Lock,2023-04-16,2023-04-07,At Risk
MS0170202,STD01702,Data Lock,2025-08-01,2025-07-07,At Risk
MS0170203,STD01702,Interim Analysis,2025-11-29,2025-11-25,Planned
MS0170204,STD01702,Data Lock,2025-03-04,2025-02-16,At Risk
MS0170301,STD01703,NDA Submission,2024-11-12,,Delayed
MS0170302,STD01703,Data Lock,2023-11-18,2023-10-20,Planned
MS0170303,STD01703,NDA Submission,2024-09-02,2024-08-26,Planned
MS0170304,STD01703,First Patient In,2025-08-13,2025-07-29,In Progress
MS0180101,STD01801,Data Lock,2024-01-08,2023-12-31,At Risk
MS0180102,STD01801,Data Lock,2023-02-23,2023-02-14,In Progress
MS0180103,STD01801,Last Patient Out,2024-11-07,2024-10-12,Delayed
MS0180104,STD01801,First Patient In,2024-09-23,2024-09-15,Completed
MS0180201,STD01802,Last Patient Out,2023-04-13,,Completed
MS0180202,STD01802,NDA Submission,2025-08-17,2025-07-31,Delayed
MS0180203,STD01802,NDA Submission,2025-06-20,,Completed
MS0180204,STD01802,First Patient In,2023-07-02,2023-06-04,Delayed
MS0180301,STD01803,First Patient In,2025-10-31,,Completed
MS0180302,STD01803,Data Lock,2024-09-21,,Planned
MS0180303,STD01803,First Patient In,2023-05-30,2023-05-17,Completed
MS0180304,STD01803,Final Report,2025-12-23,2025-11-26,Planned
MS0190101,STD01901,NDA Submission,2023-06-06,2023-06-01,Planned
MS0190102,STD01901,Interim Analysis,2025-07-22,2025-06-24,Delayed
MS0190103,STD01901,First Patient In,2024-06-22,2024-06-22,In Progress
MS0190104,STD01901,Last Patient Out,2023-05-03,,At Risk
MS0190201,STD01902,Data Lock,2023-11-20,,Delayed
MS0190202,STD01902,Last Patient Out,2023-02-23,2023-01-24,Completed
MS0190203,STD01902,Last Patient Out,2023-03-26,2023-03-16,Completed
MS0190204,STD01902,Final Report,2024-08-06,2024-07-23,At Risk
MS0190301,STD01903,Final Report,2023-03-15,,In Progress
MS0190302,STD01903,First Patient In,2024-08-30,,In Progress
MS0190303,STD01903,First Patient In,2025-08-05,2025-07-13,At Risk
MS0190304,STD01903,Final Report,2023-01-17,,At Risk
MS0200101,STD02001,Data Lock,2024-05-28,,Completed
MS0200102,STD02001,NDA Submission,2023-05-28,2023-04-29,Planned
MS0200103,STD02001,Data Lock,2025-02-27,2025-02-23,In Progress
MS0200104,STD02001,Final Report,2025-08-22,,Completed
MS0200201,STD02002,Final Report,2023-05-25,,Delayed
MS0200202,STD02002,First Patient In,2024-04-10,,Planned
MS0200203,STD02002,Interim Analysis,2023-02-10,,At Risk
MS0200204,STD02002,NDA Submission,2025-08-06,2025-07-25,Planned
MS0200301,STD02003,NDA Submission,2024-10-08,2024-10-02,In Progress
MS0200302,STD02003,First Patient In,2023-11-12,2023-11-07,In Progress
MS0200303,STD02003,Data Lock,2023-11-12,2023-10-31,Planned
MS0200304,STD02003,Final Report,2024-11-14,,At Risk
