study_id,program_id,name,phase,study_type,start_date,end_date,enrollment_status,target_enrollment,actual_enrollment,principal_investigator
STD01502,PRG015,Study-15-2,Phase IIa,Observational,2023-03-09,2024-06-01,Enrolling by invitation,233,173,Dr. Lee
STD01503,PRG015,Study-15-3,Phase IIa,Interventional,2022-02-11,2023-11-22,Recruiting,199,81,Dr. Garcia
STD01601,PRG016,Study-16-1,Phase IIa,Interventional,2022-06-06,2024-06-04,Completed,165,165,Dr. Patel
STD01602,PRG016,Study-16-2,Phase IIb,Observational,2023-09-29,2024-12-12,Recruiting,199,179,Dr. Garcia
STD01603,PRG016,Study-16-3,Phase IIa,Interventional,2022-09-26,2022-12-29,Withdrawn,154,54,Dr. Chen
STD01701,PRG017,Study-17-1,Phase IIb,Observational,2024-11-30,2025-01-30,Suspended,473,96,Dr. Garcia
STD01702,PRG017,Study-17-2,Phase III,Observational,2022-07-25,2022-10-24,Completed,269,84,Dr. Chen
STD01703,PRG017,Study-17-3,Phase IIa,Interventional,2024-08-12,2025-05-12,Suspended,269,35,Dr. Garcia
STD01801,PRG018,Study-18-1,Phase III,Observational,2023-09-10,2024-12-18,"Active, not recruiting",146,25,Dr. Kim
STD01802,PRG018,Study-18-2,Phase IIb,Observational,2022-04-07,2023-02-24,Not yet recruiting,424,122,Dr. Patel
STD01803,PRG018,Study-18-3,Phase IIb,Interventional,2022-09-17,2024-08-15,Completed,470,416,Dr. Chen
STD01901,PRG019,Study-19-1,Phase IIb,Observational,2024-07-05,2024-08-23,Recruiting,264,198,Dr. Lee
STD01902,PRG019,Study-19-2,Phase I,Interventional,2022-09-05,2023-12-06,Enrolling by invitation,228,29,Dr. Lee
STD01903,PRG019,Study-19-3,Phase III,Observational,2024-08-14,2025-07-03,Suspended,356,242,Dr. Kim
STD02001,PRG020,Study-20-1,Phase IIb,Interventional,2024-08-28,2026-08-22,Terminated,265,100,Dr. Chen
STD02002,PRG020,Study-20-2,Phase III,Observational,2023-06-09,2023-12-05,Terminated,111,89,Dr. Chen
STD02003,PRG020,Study-20-3,Phase IIa,Interventional,2024-07-10,2024-11-19,Terminated,336,262,Dr. Patel
